,직종코드,직종명,상위단계 직종코드
1133,885901,드론 조작원,125
1134,885902,주입·포장·상표부착기 등 기타 기계 조작원,125
1135,816200,금속기계부품 조립원,126
1136,824107,용접 사상원 및 보조원,126
1137,836000,전기·전자 부품·제품 조립원,126
1138,852401,고무제품 조립원 및 검사원,126
1139,852402,플라스틱제품 조립원 및 검사원,126
1140,862200,재단사,126
1141,862301,재봉사(의류·직물),126
1142,862900,의복·직물 검사 등 기타 섬유·가죽 기능원,126
1143,890000,제조 단순 종사원,126
1144,890001,기계·금속 분야 단순 종사원,126
1145,890002,단순 사상원(용접사상 제외-용접원구분),126
1146,890003,화학·환경·에너지 분야 단순 종사원,126
1147,890004,섬유·의복 분야 단순 종사원,126
1148,890005,전기·전자 분야 단순 종사원,126
1149,890006,식품 분야 단순 종사원,126
1150,890007,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",126
1151,901100,곡식작물 재배원,131
1152,901200,채소·특용작물 재배원,131
1153,901300,과수작물 재배원,131
1154,901400,원예작물 재배원,131
1155,901500,조경원,131
1156,901501,조경 식재원,131
1157,901502,식물 관리원,131
1158,414901,조련사(공연)·마술사 등 기타 시각 및 공연 예술가,132
1159,420406,"프로모터, 경주마 조련사 등 기타 스프츠 관련 전문가",132
1160,511502,반려동물 훈련사(맹인견 조련사 포함),132
1161,902100,낙농 종사원,132
1162,902200,가축 사육 종사원,132
1163,902900,기타 사육 종사원(양봉·감별·동물원사육·실험동물사육 등),132
1164,903100,조림·산림경영인 및 벌목원,133
1165,903900,임산물 채취 및 기타 임업 종사원,133
1166,904100,양식원,134
1167,904200,어부 및 해녀,134
1168,905000,농림어업 단순 종사원,135
1169,905001,농업 단순 종사원,135
1170,905002,"임업 단순 종사원(산림보호감시, 산불감시원 등)",135
1171,905003,어업 단순 종사원,135
